English word,French word,Frequency
match,rencontre,94
matter,matière,257
meaning,sens,56
means,veux dire,254
meant,signifiait,48
measure,mesure,91
meeting,réunion,51
membership,adhésion,221
memory,Mémoire,56
merchant,marchande,65
mercy,pitié,173
merit,mérite,47
merry,joyeux,156
messenger,Messager,299
midnight,minuit,37
might,pourrait,492
mighty,puissant,109
milan,Milan,38
minds,esprits,55
minister,ministre,37
miranda,Miranda,63
mirth,gaieté,45
mischief,sottises,40
misery,misère,38
mistake,erreur,36
mistress,maîtresse,426
modest,modeste,37
money,argent,170
monster,monstre,75
month,mois,42
morning,Matin,117
morrow,demain,311
mortal,mortel,97
mother,mère,402
motion,mouvement,70
mouth,bouche,134
mowbray,mowbray,63
murder,meurtre,70
murther,aller plus loin,56
music,la musique,191
myself,moi même,514
naked,nu,50
names,des noms,40
native,originaire de,43
natural,Naturel,56
nature,la nature,371
needs,Besoins,146
neighbour,voisine,54
neither,ni,168
never,jamais,1018
niece,nièce,55
night,nuit,712
noble,noble,609
noise,bruit,93
nothing,rien,591
nought,néant,53
number,nombre,52
nurse,infirmière,201
oaths,serments,60
obedience,obéissance,46
oberon,Oberon,44
object,objet,39
occasion,occasion,70
offence,infraction,81
offend,offenser,60
offer,offre,103
office,Bureau,118
often,souvent,124
oliver,oliver,57
opinion,opinion,80
order,ordre,85
orlando,orlando,159
other,autre,697
others,autres,414
ourselves,nous-mêmes,110
outward,vers l'extérieur,50
oxford,Oxford,54
padua,Padoue,37
pains,des douleurs,83
painted,peint,52
painter,peintre,44
palace,palais,157
pandarus,Pandarus,187
paper,papier,98
pardon,pardon,293
paris,Paris,131
parolles,parolles,173
parted,séparé,44
particular,particulier,55
partly,partiellement,35
parts,les pièces,105
party,fête,49
passage,passage,32
passion,la passion,104
patience,la patience,172
patient,patient,75
paulina,paulina,84
peace,paix,500
pedro,pedro,155
people,gens,208
perceive,apercevoir,91
percy,Percy,83
perfect,parfait,54
perhaps,peut-être,44
peril,péril,42
permission,autorisation,225
person,la personne,132
personal,personnel,234
phebe,phebe,47
philip,Philippe,69
picture,image,36
piece,pièce,89
pistol,pistolet,180
place,endroit,418
plague,peste,92
plain,plaine,115
plead,plaider,47
please,S'il vous plaît,386
pleasure,plaisir,161
pluck,cueillir,139
poins,poins,99
point,point,139
poison,poison,91
policy,politique,41
polixenes,polixènes,82
pompey,pompey,200
porter,porter,42
possible,possible,43
posthumus,posthume,125
pound,livre,52
power,Puissance,290
practice,entraine toi,39
praise,louange,176
prayers,prières,79
precious,précieux,78
prepare,préparer,63
presence,présence,99
present,présent,240
pretty,jolie,114
pride,fierté,101
priest,prêtre,64
prince,prince,752
prison,prison,80
private,privé,63
prize,prix,43
proceed,procéder,67
proclaim,proclamer,60
profit,profit,38
prohibited,interdit,221
project,projet,251
prologue,prologue,38
promise,promettre,105
proof,preuve,77
proper,correct,64
protector,protecteur,52
protest,manifestation,52
proud,fier,201
prove,prouver,247
provided,à condition de,250
public,Publique,56
purpose,objectif,195
purse,bourse,67
quality,qualité,49
quarrel,querelle,89
queen,reine,940
question,question,147
quick,rapide,107
quiet,silencieux,70
quite,assez,86
quoth,quoth,66
raise,élever,46
ransom,une rançon,54
rascal,coquin,51
rather,plutôt,315
readable,lisible,224
ready,prêt,124
realm,domaine,48
reason,raison,265
receive,recevoir,97
regard,qui concerne,41
reign,règne,46
reignier,règne,49
remain,rester,63
remedy,remède,49
remember,rappelles toi,185
render,rendre,46
repair,réparation,45
repent,se repentir,56
report,rapport,138
reputation,réputation,44
request,demande,57
respect,le respect,98
return,revenir,236
revenge,vengeance,143
reverence,révérence,40
revolt,révolte,36
right,droite,327
rivers,rivières,55
rogue,coquin,79
rotten,pourri,37
rough,rugueux,68
round,rond,72
royal,Royal,212
sacred,sacré,47
safety,sécurité,71
saint,Saint,126
salerio,salerio,47
satisfied,satisfait,43
saying,en disant,54
scarce,rare,73
scene,scène,767
scorn,mépris,103
search,chercher,49
season,saison,42
second,seconde,572
secret,secret,63
seeing,voyant,52
senate,sénat,41
senator,sénateur,91
sense,sens,116
sentence,phrase,37
servant,serviteur,418
serve,servir,180
service,un service,427
seven,Sept,69
several,nombreuses,79
shadow,ombre,76
shake,secouer,99
shall,doit,3592
shame,la honte,289
shape,forme,83
sharp,tranchant,70
shepherd,berger,116
shine,éclat,41
shore,rive,50
short,court,100
shortly,prochainement,45
should,devrait,1575
shows,montre,98
sickness,maladie,50
sight,vue,177
silence,silence,106
silver,argent,68
simple,Facile,115
since,depuis,444
single,Célibataire,57
sirrah,sirrah,132
sister,sœur,182
skill,compétence,52
slain,tué,104
slander,calomnie,51
slave,esclave,125
sleep,sommeil,243
slender,mince,108
small,petit,100
smell,odeur,49
smile,sourire,72
soldier,soldat,258
solemn,solennel,41
somerset,somerset,139
something,quelque chose,175
sometime,parfois,77
sooner,plus tôt,61
soothsayer,devin,43
sorrow,chagrin,186
sorry,Pardon,90
sought,recherché,36
souls,âmes,108
sound,du son,207
sovereign,souverain,146
spare,de rechange,60
speak,parler,1153
speaks,parle,124
special,spécial,38
speech,discours,120
speed,la vitesse,231
spend,dépenser,66
spirit,esprit,247
spite,dépit,58
spoke,parlait,143
sport,sport,114
spring,printemps,59
staff,Personnel,36
stain,tache,67
stand,supporter,572
stars,étoiles,68
state,Etat,283
steal,voler,82
steel,acier,61
steward,intendant,43
still,encore,528
stomach,estomac,43
stone,calcul,59
stood,se tenait,93
store,boutique,38
storm,orage,52
story,récit,63
straight,tout droit,135
strange,étrange,231
street,rue,78
strength,force,119
strike,la grève,149
stroke,accident vasculaire cérébral,39
strong,fort,187
struck,frappé,75
study,étude,60
stuff,des trucs,61
subject,matière,99
substance,substance,38
success,Succès,39
sudden,soudain,76
suddenly,tout à coup,44
suffer,souffrir,106
suffolk,suffolk,249
summer,été,87
supper,souper,53
surely,sûrement,39
surrey,Surrey,50
suspect,suspect,38
swear,jurer,260
sweat,transpiration,36
sweet,sucré,798
swift,rapide,69
sword,épée,329
swore,juré,51
sworn,juré,131
syracuse,Syracuse,238
table,table,55
tailor,tailleur,49
taken,pris,92
talbot,talbot,163
tarry,goudronneux,39
taste,goût,77
taught,enseigné,50
teach,enseigner,101
tears,larmes,249
tedious,fastidieux,42
teeth,les dents,53
tells,raconte,42
tempest,tempête,44
tender,soumissionner,146
terms,termes,67
thank,remercier,294
their,leur,2077
themselves,se,146
there,Là,2077
therefore,par conséquent,623
therein,la bride,56
these,celles-ci,1303
thief,voleur,61
thing,chose,329
think,pense,1064
third,troisième,241
thomas,Thomas,74
those,ceux,547
though,bien que,629
thought,pensée,364
thrive,prospérer,55
throat,gorge,48
throne,trône,62
through,par,259
throw,jeter,105
thrust,poussée,54
thunder,tonnerre,65
times,fois,200
title,Titre,89
together,ensemble,223
tongue,langue,390
tonight,ce soir,48
touch,toucher,158
toward,vers,101
tower,la tour,73
train,train,81
traitor,traitre,118
tread,bande de roulement,43
treason,trahison,83
treasure,Trésor,51
trial,procès,56
tribunes,tribunes,66
trick,tour,49
triumph,triomphe,42
trouble,difficulté,69
truly,vraiment,163
trumpet,trompette,87
trust,confiance,170
truth,vérité,303
turns,se tourne,54
twice,deux fois,70
tyrant,tyran,55
ulysses,Ulysse,113
uncle,oncle,193
under,sous,296
understand,comprendre,95
undertake,entreprendre,44
undone,défait,50
unhappy,malheureux,37
unknown,inconnue,41
unless,sauf si,153
until,jusqu'à,76
unworthy,indigne,36
utter,prononcer,41
valentine,Valentin,228
valiant,vaillant,148
valour,valeur,94
vantage,avantage,40
vengeance,vengeance,50
venice,venise,80
version,version,222
victory,la victoire,45
villain,scélérat,231
viola,alto,141
violent,violent,40
virtue,vertu,188
visit,visite,55
voice,voix,141
walls,des murs,75
warlike,guerrier,58
warrant,mandat,173
waste,déchets,40
watch,regarder,203
water,eau,139
wealth,richesse,71
weapons,armes,40
weary,se lasser,73
weeds,mauvaises herbes,40
weeping,larmes,55
weight,poids,41
welcome,Bienvenue,356
wench,jeune fille,54
whence,d'où,74
where,où,1324
wherein,où,130
whether,qu'il s'agisse,97
which,lequel,2320
while,tandis que,237
whither,où,80
whole,entier,118
whore,putain,41
whose,dont,618
widow,veuve,116
willing,prêt,38
window,la fenêtre,46
wings,ailes,50
winter,hiver,71
wisdom,sagesse,94
witch,sorcière,92
withal,avec,122
within,dans,476
without,sans pour autant,365
witness,témoin,124
wives,épouses,55
wolsey,Wolsey,101
woman,femme,385
wonder,merveille,115
works,travaux,248
world,monde,858
worse,pire,156
worship,culte,98
worth,vaut,198
would,aurait,2295
wound,blessure,67
wounded,blessés,36
wrath,colère,52
wretch,misérable,58
write,écrire,125
written,écrit,34
wrong,faux,255
wrought,forgé,42
yield,rendement,141
yonder,là-bas,69
young,Jeune,457
yours,le tiens,219
yourself,toi même,249
youth,jeunesse,262
